1000	ROBERT GARCIA	male	18	2011-10-20 12:41:52	USA	83	66
1001	PHILIP RODRIGUEZ	male	26	2011-08-31 16:00:58	UK	2	3
1002	DONNA WILLIAMS	female	19	2012-10-14 05:52:29	GERMANY	1	3
1003	MARK KIRK	male	19	2011-11-16 03:44:31	USA	0	31
1004	LINDA GRANT	female	25	2013-01-15 02:55:26	USA	5	5
1005	SUSAN SMYTHE	female	19	2012-12-16 00:54:33	CANADA	0	7
1006	HELEN TAYLOR	female	22	2011-09-07 19:56:44	UK	0	43
1007	TABITHA PETERSON	female	18	2012-09-02 08:21:30	UK	83	93
1008	STEVEN JOHNSON	male	24	2013-02-24 05:21:48	GERMANY	0	4
1009	KAREN PETERS	female	22	2012-04-22 05:29:28	UK	0	28
1010	ANN THOMPSON	female	18	2012-02-08 19:47:25	UK	80	5
1011	KAREN ANDERSON	female	25	2012-07-15 18:15:41	FRANCE	3	32
1012	BARBARA DENT	female	18	2011-10-28 07:54:45	USA	0	1
1013	ELIZABETH GRANT	female	19	2012-02-15 15:55:17	USA	0	9
1014	BETTY HALL	female	28	2011-09-30 04:31:31	USA	0	2
1015	DIANA KIRK	female	18	2012-11-03 12:28:30	UK	0	69
1016	LISA LEWIS	female	26	2012-10-09 05:55:27	USA	69	37
1017	POLLY MOORE	female	22	2011-08-01 19:10:03	UK	3	34
1018	ALISON HARRIS	female	20	2011-04-08 12:39:12	USA	0	8
1019	HUGH ROBERTSON	male	22	2011-07-03 11:29:06	USA	5	75
1020	MARCUS KIRBY	male	29	2012-09-18 22:46:58	UK	76	83
1021	ANNA CLARKE	female	20	2011-01-09 05:04:31	FRANCE	48	7
1022	DONALD JOHNSON	male	23	2012-12-23 07:40:38	UK	3	4
1023	LINDA MAJOR	female	18	2011-09-26 04:47:35	USA	0	66
1024	TERRY HARRIS	male	18	2011-10-26 15:36:28	USA	96	87
1025	LISA SMYTHE	female	24	2013-01-06 10:56:35	CANADA	1	3
1026	RICHARD THOMAS	male	19	2011-05-08 09:38:49	USA	2	5
